Year,Visitors
1947,873
1948,6116
1949,9003
1950,10594
1951,12234
1952,11348
1953,12326
1954,14600
1955,13900
1956,15000
1957,14100
1958,14100
1959,12700
1960,11800
1961,11600
1962,13300
1963,12800
1964,15100
1965,16900
1966,19500
1967,21600
1968,14900
1969,11800
1970,11900
1971,14500
1972,18086
1973,16100
1974,16500
1975,26400
1976,41800
1977,21900
1978,21433
1979,34322
1980,24974
1981,27055
1982,25440
1983,26162
1984,23398
1985,24555
1986,24693
1987,25617
1988,21617
1989,22595
1990,20315
1991,26958
1992,27400
1993,43877
1994,41179
1995,47312
1996,38230
1997,56643
1998,63569
1999,84574
2000,87347
2001,167500
2002,173944
2003,215659
2004,239504
2005,220467
2006,225318
2007,224880
2008,241536
2009,253656
2010,73339
2011,219975
2012,336031
2013,285501
2014,178468
2015,183632
2016,199301
2017,255562
