Year,Visitors
1968,3800
1969,4100
1970,6900
1971,9000
1972,10793
1973,8100
1974,9900
1975,11000
1976,11500
1977,11100
1978,10739
1979,8115
1980,8330
1981,9459
1982,9018
1983,10097
1984,10317
1985,10366
1986,10187
1987,11439
1988,11156
1989,11459
1990,14482
1991,13891
1992,18785
1993,19467
1994,18970
1995,18719
1996,16567
1997,20596
1998,17594
1999,18117
2000,17933
2001,17399
2002,17129
2003,16233
2004,15235
2005,14209
2006,13521
2007,12997
2008,12425
2009,12694
2010,12509
2011,11617
2012,11824
2013,10504
2014,12440
2015,13264
2016,15555
2017,32038
