Year,Visitors
1972,133975
1973,168200
1974,106900
1975,93300
1976,153800
1977,229000
1978,194282
1979,151123
1980,126700
1981,113697
1982,104053
1983,110921
1984,101029
1985,118440
1986,129798
1987,130114
1988,129912
1989,136068
1990,131406
1991,151408
1992,143025
1993,136567
1994,162279
1995,156581
1996,197394
1997,196340
1998,225653
1999,182539
2000,167373
2001,160974
2002,190004
2003,150661
2004,165929
2005,132466
2006,132153
2007,153686
2008,159592
2009,136267
2010,121535
2011,108812
2012,122883
2013,98771
2014,127189
2015,136686
2016,134216
2017,132149
