Year,Visitors
1942,5149
1943,8138
1944,14655
1945,16738
1946,25650
1947,22830
1948,21864
1949,23664
1950,25988
1951,31106
1952,30587
1953,36449
1954,32800
1955,34200
1956,35900
1957,34800
1958,37300
1959,37700
1960,41900
1961,47800
1962,48900
1963,48100
1964,50600
1965,47600
1966,47500
1967,49000
1968,46500
1969,45900
1970,47600
1971,46900
1972,63887
1973,55200
1974,48000
1975,48900
1976,47200
1977,45600
1978,42552
1979,47674
1980,65591
1981,74100
1982,77578
1983,119410
1984,84889
1985,68607
1986,72600
1987,77095
1988,76566
1989,71350
1990,71017
1991,82076
1992,64481
1993,41703
1994,59538
1995,63196
1996,59102
1997,67309
1998,60207
1999,51779
2000,59897
2001,49551
2002,48878
2003,51910
2004,50196
2005,48552
2006,50701
2007,43456
2008,69433
2009,63296
2010,60323
2011,52322
2012,51261
2013,42929
2014,42863
2015,45357
2016,45937
2017,53998
