Year,Visitors
1941,50000
1942,9750
1943,3125
1944,5450
1945,7850
1946,19400
1947,25250
1948,27750
1949,34150
1950,55400
1951,44900
1952,57600
1953,63000
1954,62200
1955,62500
1956,64200
1957,86000
1958,78500
1959,98700
1960,124300
1961,156400
1962,152200
1963,141000
1964,131900
1965,148800
1966,129900
1967,122000
1968,125000
1969,129800
1970,148300
1971,240100
1972,260391
1973,265000
1974,245300
1975,291900
1976,220800
1977,263100
1978,259000
1979,208411
1980,218724
1981,244968
1982,240405
1983,246277
1984,318027
1985,277613
1986,323784
1987,336075
1988,312693
1989,377440
1990,402947
1991,321668
1992,311921
1993,211557
1994,273768
1995,223288
1996,205938
1997,204862
1998,201874
1999,198665
2000,196363
2001,190422
2002,177219
2003,155031
2004,152453
2005,136827
2006,145804
2007,149255
2008,178748
2009,185443
2010,216220
2011,258917
2012,320668
2013,317660
2014,278776
2015,412640
2016,303139
2017,113960
