Year,Visitors
1929,500
1930,400
1931,405
1932,480
1933,425
1934,275
1935,300
1936,400
1937,1000
1938,1448
1939,1775
1940,2512
1941,3737
1942,1205
1943,776
1944,642
1945,682
1946,2301
1947,5028
1948,8870
1949,13270
1950,16257
1951,18603
1952,28683
1953,30853
1954,31300
1955,31800
1956,28500
1957,25400
1958,40100
1959,59800
1960,71600
1961,90700
1962,105700
1963,118200
1964,99700
1965,143900
1966,128000
1967,120300
1968,135600
1969,162600
1970,178500
1971,202100
1972,225128
1973,274900
1974,166900
1975,236100
1976,294800
1977,313400
1978,326948
1979,269840
1980,290519
1981,326508
1982,339415
1983,287875
1984,345180
1985,363464
1986,419444
1987,468916
1988,520455
1989,555809
1990,620719
1991,705882
1992,799831
1993,773678
1994,777178
1995,859374
1996,856016
1997,858525
1998,837161
1999,869980
2000,786429
2001,754026
2002,769672
2003,757781
2004,733131
2005,781670
2006,833049
2007,860181
2008,928795
2009,996312
2010,1014405
2011,1040758
2012,1070577
2013,1082866
2014,1284767
2015,1399247
2016,1585718
2017,1539028
