Year,Visitors
1936,700000
1937,729652
1938,553122
1939,436163
1940,361174
1941,357813
1942,162709
1943,133464
1944,209329
1945,263374
1946,311667
1947,321086
1948,313684
1949,328668
1950,320005
1951,347153
1952,394429
1953,430490
1954,380500
1955,340900
1956,363700
1957,342200
1958,315800
1959,331700
1960,348200
1961,321900
1962,446500
1963,473400
1964,1063900
1965,528800
1966,364100
1967,252600
1968,269300
1969,407800
1970,388800
1971,313300
1972,542658
1973,589600
1974,490100
1975,514900
1976,483600
1977,514000
1978,513056
1979,459346
1980,484364
1981,336593
1982,511982
1983,514863
1984,635748
1985,496848
1986,481546
1987,481121
1988,493031
1989,439009
1990,463467
1991,483440
1992,459660
1993,496526
1994,494048
1995,559509
1996,409143
1997,428347
1998,511200
1999,476911
2000,377011
2001,429470
2002,416531
2003,378688
2004,492831
2005,498553
2006,509522
2007,466690
2008,518515
2009,603773
2010,627576
2011,576816
2012,562772
2013,586531
2014,671638
2015,532050
2016,1057500
2017,726059
