Year,Visitors
1923,6234
1924,5968
1925,7000
1926,5646
1927,7298
1928,18359
1929,18193
1930,12906
1931,10710
1932,8322
1933,7546
1934,10142
1935,10738
1936,12984
1937,14303
1938,20214
1939,15188
1940,10550
1941,12660
1942,6479
1943,4953
1944,4459
1945,5100
1946,11177
1947,13634
1948,14614
1949,14833
1950,18118
1951,24819
1952,25832
1953,26284
1954,28000
1955,29100
1956,36000
1957,41200
1958,44000
1959,48200
1960,38100
1961,42100
1962,41400
1963,45100
1964,47900
1965,51800
1966,54300
1967,53700
1968,56600
1969,62600
1970,66500
1971,74000
1972,79428
1973,65400
1974,56900
1975,67600
1976,67200
1977,71300
1978,70310
1979,58064
1980,56844
1981,64902
1982,60878
1983,61693
1984,58394
1985,58187
1986,62519
1987,65459
1988,79518
1989,86874
1990,80037
1991,89220
1992,93894
1993,82764
1994,80699
1995,72499
1996,65955
1997,61979
1998,63259
1999,58318
2000,52136
2001,46451
2002,47401
2003,42493
2004,45423
2005,44050
2006,40779
2007,39538
2008,38709
2009,38234
2010,37437
2011,41106
2012,44744
2013,41312
2014,44721
2015,53165
2016,57692
2017,52756
