Year,Visitors
1939,205100
1940,181993
1941,252248
1942,86256
1943,10149
1944,10349
1945,31377
1946,230403
1947,339843
1948,384133
1949,373076
1950,447654
1951,607965
1952,580902
1953,658691
1954,665000
1955,630900
1956,663200
1957,701100
1958,810800
1959,825200
1960,878600
1961,833300
1962,1044800
1963,1074000
1964,1079800
1965,1091300
1966,1094800
1967,1188700
1968,1194600
1969,1221300
1970,1303100
1971,1282000
1972,1274600
1973,1387900
1974,1205300
1975,1153200
1976,1210100
1977,1305400
1978,1234915
1979,858000
1980,952652
1981,1175952
1982,1030484
1983,1026981
1984,1113675
1985,950242
1986,1025630
1987,1174398
1988,1110040
1989,1237956
1990,1326475
1991,1518396
1992,1205297
1993,1179458
1994,1130459
1995,1075569
1996,1024705
1997,970696
1998,1021049
1999,950453
2000,1105824
2001,955469
2002,908898
2003,871034
2004,936030
2005,909146
2006,840118
2007,886654
2008,845734
2009,933918
2010,977778
2011,870741
2012,883406
2013,892372
2014,868094
2015,989354
2016,996263
2017,1054325
