Year,Visitors
1932,4164
1933,3906
1934,9457
1935,12381
1936,12944
1937,14380
1938,14619
1939,10998
1940,13689
1941,11460
1942,4558
1943,3765
1944,7689
1945,10689
1946,22009
1947,24803
1948,27275
1949,36334
1950,47059
1951,46909
1952,55006
1953,61142
1954,63700
1955,66000
1956,70000
1957,79800
1958,83200
1959,85400
1960,81600
1961,90500
1962,97200
1963,113800
1964,116300
1965,105800
1966,134000
1967,193200
1968,136800
1969,133400
1970,201200
1971,209500
1972,213043
1973,171100
1974,148200
1975,248500
1976,283200
1977,136400
1978,153849
1979,161336
1980,176410
1981,197574
1982,210850
1983,199775
1984,215500
1985,238434
1986,237977
1987,261527
1988,249561
1989,322273
1990,327918
1991,345725
1992,360204
1993,366638
1994,430138
1995,395677
1996,363447
1997,409303
1998,354672
1999,332764
2000,248276
2001,313850
2002,291436
2003,287096
2004,263285
2005,250161
2006,243765
2007,224134
2008,207656
2009,212544
2010,234896
2011,193914
2012,150289
2013,126682
2014,130106
2015,174073
2016,198478
2017,209141
