Year,Visitors
1964,15700
1965,16400
1966,16500
1967,14600
1968,19100
1969,20200
1970,25300
1971,28900
1972,25671
1973,21800
1974,39500
1975,109300
1976,90200
1977,100500
1978,91800
1979,94653
1980,54529
1981,45843
1982,44318
1983,40173
1984,38330
1985,42875
1986,44770
1987,41194
1988,41832
1989,45512
1990,43209
1991,47170
1992,48609
1993,44935
1994,44717
1995,38338
1996,37640
1997,38771
1998,41106
1999,36814
2000,30461
2001,30987
2002,29830
2003,31247
2004,30964
2005,27760
2006,26483
2007,23952
2008,25001
2009,28131
2010,29120
2011,26842
2012,25815
2013,23324
2014,24555
2015,26219
2016,31948
2017,26397
