Year,Visitors
1944,1409
1945,3205
1946,10037
1947,28652
1948,45670
1949,62150
1950,70325
1951,84051
1952,94367
1953,86635
1954,67300
1955,81000
1956,89700
1957,75000
1958,72600
1959,70400
1960,75900
1961,90600
1962,91000
1963,114200
1964,119700
1965,174600
1966,163500
1967,173300
1968,191800
1969,199800
1970,172600
1971,205000
1972,240904
1973,283300
1974,158700
1975,275500
1976,378600
1977,334000
1978,301198
1979,282941
1980,174008
1981,167332
1982,180144
1983,164926
1984,167665
1985,188045
1986,200622
1987,227921
1988,239595
1989,281728
1990,257378
1991,296470
1992,294535
1993,327907
1994,330417
1995,295460
1996,279454
1997,305882
1998,338442
1999,327649
2000,262320
2001,328927
2002,327747
2003,312384
2004,357723
2005,398583
2006,298717
2007,364856
2008,362512
2009,363905
2010,372330
2011,361862
2012,292055
2013,316953
2014,314102
2015,381747
2016,388290
2017,440276
