Year,Visitors
1967,180400
1968,191700
1969,146200
1970,154000
1971,141000
1972,210614
1973,220500
1974,211700
1975,298800
1976,287100
1977,348600
1978,277890
1979,297152
1980,322728
1981,341157
1982,391017
1983,373150
1984,379625
1985,456020
1986,455228
1987,452103
1988,441172
1989,455401
1990,463311
1991,481098
1992,459660
1993,397336
1994,410594
1995,378180
1996,301533
1997,190509
1998,279637
1999,234013
2000,238049
2001,241388
2002,167792
2003,228701
2004,149011
2005,194519
2006,177414
2007,213063
2008,178533
2009,205293
2010,258637
2011,201010
2012,245831
2013,241527
2014,224083
2015,245173
2016,259485
2017,231836
