Year,Visitors
1938,2345
1939,3875
1940,3875
1941,4000
1942,0
1943,0
1944,1190
1945,1576
1946,2462
1947,2688
1948,2941
1949,3200
1950,3272
1951,4180
1952,4644
1953,5535
1954,6300
1955,5100
1956,6300
1957,6600
1958,7600
1959,9100
1960,10700
1961,9600
1962,13800
1963,15200
1964,18800
1965,17500
1966,21100
1967,18200
1968,34100
1969,34600
1970,39700
1971,40300
1972,45850
1973,35100
1974,34800
1975,40500
1976,47500
1977,51600
1978,53000
1979,41186
1980,37317
1981,43176
1982,41128
1983,46748
1984,37695
1985,34603
1986,39388
1987,32694
1988,43351
1989,50031
1990,43820
1991,54065
1992,64177
1993,62198
1994,65671
1995,64125
1996,50235
1997,51708
1998,64968
1999,62302
2000,40470
2001,56619
2002,61142
2003,56146
2004,60128
2005,54934
2006,55049
2007,55415
2008,54818
2009,49822
2010,44771
2011,36290
2012,35207
2013,38092
2014,36987
2015,39549
2016,41795
2017,36717
