Year,Visitors
1972,78147
1973,243100
1974,409700
1975,351500
1976,339100
1977,205900
1978,177416
1979,202938
1980,248071
1981,305502
1982,348219
1983,369082
1984,340567
1985,460921
1986,578013
1987,607968
1988,531036
1989,589957
1990,573376
1991,488134
1992,307512
1993,19950
1994,25147
1995,584519
1996,338603
1997,392069
1998,403239
1999,442585
2000,393151
2001,489343
2002,513397
2003,490031
2004,478304
2005,563728
2006,608836
2007,517442
2008,686062
2009,437745
2010,467612
2011,476077
2012,495613
2013,486848
2014,525745
2015,508164
2016,514709
2017,446961
