Year,Visitors
1934,2592
1935,1596
1936,4833
1937,9770
1938,15151
1939,16041
1940,19307
1941,18800
1942,6264
1943,2087
1944,2351
1945,4968
1946,17573
1947,22510
1948,26679
1949,29739
1950,26487
1951,31448
1952,38449
1953,51763
1954,51400
1955,57200
1956,62000
1957,48900
1958,93000
1959,100800
1960,122500
1961,115000
1962,131800
1963,146600
1964,168200
1965,184000
1966,181000
1967,185100
1968,215900
1969,302600
1970,249000
1971,223600
1972,273322
1973,234800
1974,267100
1975,348900
1976,373600
1977,310500
1978,271879
1979,234286
1980,336119
1981,266604
1982,227428
1983,291618
1984,253048
1985,266012
1986,289117
1987,285439
1988,269073
1989,288586
1990,275323
1991,316336
1992,337209
1993,319322
1994,214194
1995,221113
1996,200125
1997,209863
1998,193451
1999,200142
2000,191506
2001,181018
2002,173687
2003,167247
2004,175581
2005,180814
2006,160450
2007,219576
2008,160185
2009,171451
2010,176344
2011,168336
2012,192570
2013,175852
2014,183045
2015,209166
2016,238018
2017,307143
