Year,Visitors
1975,1095700
1976,2519200
1977,1523200
1978,2425179
1979,1777391
1980,2034110
1981,1754142
1982,1703122
1983,2088259
1984,1481339
1985,1560527
1986,1642367
1987,2219983
1988,2183824
1989,2135152
1990,2102943
1991,2020563
1992,2076084
1993,2030197
1994,1921510
1995,1839498
1996,2260565
1997,2707789
1998,2697197
1999,2330011
2000,2450806
2001,1981301
2002,1801100
2003,1617503
2004,1897505
2005,1992242
2006,1944386
2007,2184889
2008,2232495
2009,2155026
2010,2060497
2011,2546156
2012,2629064
2013,2245875
2014,2476078
2015,2262841
2016,2594495
2017,3425606
