Year,Visitors
1958,6400
1959,8700
1960,8300
1961,8500
1962,12600
1963,14700
1964,20600
1965,25600
1966,21800
1967,17400
1968,15300
1969,19200
1970,20500
1971,23800
1972,31734
1973,35600
1974,32300
1975,35600
1976,33800
1977,24200
1978,30267
1979,25507
1980,21575
1981,19874
1982,20461
1983,23007
1984,24972
1985,19644
1986,20859
1987,20588
1988,20070
1989,17571
1990,25060
1991,20887
1992,25983
1993,25894
1994,26210
1995,25704
1996,20134
1997,19172
1998,19226
1999,22623
2000,21435
2001,22692
2002,19188
2003,17906
2004,18513
2005,16357
2006,18339
2007,19410
2008,19990
2009,21216
2010,21665
2011,24030
2012,24361
2013,22103
2014,26127
2015,27205
2016,23440
2017,25479
