Year,Visitors
1929,21997
1930,35982
1931,41572
1932,34143
1933,32878
1934,51188
1935,63703
1936,88848
1937,94331
1938,101851
1939,101500
1940,103362
1941,124563
1942,30019
1943,7690
1944,10311
1945,33463
1946,125828
1947,163172
1948,175975
1949,192552
1950,212976
1951,224801
1952,225113
1953,242820
1954,238200
1955,254200
1956,257600
1957,263000
1958,248500
1959,278300
1960,272000
1961,264800
1962,251000
1963,289500
1964,300300
1965,366800
1966,396600
1967,295000
1968,320800
1969,366900
1970,345900
1971,377800
1972,424830
1973,429700
1974,408800
1975,579200
1976,625600
1977,611500
1978,679260
1979,558095
1980,571541
1981,474092
1982,471517
1983,472633
1984,495104
1985,500782
1986,578018
1987,718342
1988,791348
1989,808045
1990,862659
1991,929067
1992,1018174
1993,1107951
1994,1028134
1995,994548
1996,1269600
1997,1174824
1998,1166331
1999,1081521
2000,1099275
2001,1068619
2002,886436
2003,903760
2004,987253
2005,1017681
2006,890676
2007,1012563
2008,1043321
2009,1216377
2010,1285492
2011,1296000
2012,1385352
2013,1311875
2014,1435741
2015,1745804
2016,2365110
2017,2571684
