Year,Visitors
1973,13200
1974,205900
1975,224000
1976,315800
1977,331500
1978,645343
1979,675832
1980,576352
1981,580075
1982,606935
1983,655774
1984,510009
1985,761086
1986,972516
1987,1052496
1988,1058464
1989,1059334
1990,920768
1991,981833
1992,1190674
1993,1002084
1994,957256
1995,700564
1996,716530
1997,580305
1998,651223
1999,796279
2000,731783
2001,794676
2002,765628
2003,635344
2004,1191021
2005,984059
2006,1068090
2007,1194043
2008,1405802
2009,1522586
2010,1545599
2011,1169802
2012,1093083
2013,1125227
2014,1357057
2015,1463304
2016,1785359
2017,1471330
