Year,Visitors
1962,6600
1963,9400
1964,9600
1965,15500
1966,21700
1967,30500
1968,42000
1969,36400
1970,39700
1971,59200
1972,61146
1973,41900
1974,33300
1975,36400
1976,42700
1977,60200
1978,85206
1979,82390
1980,71305
1981,45502
1982,49915
1983,51641
1984,45816
1985,62345
1986,74708
1987,93015
1988,95052
1989,73779
1990,32337
1991,51542
1992,48621
1993,60204
1994,57294
1995,57716
1996,45618
1997,53583
1998,46455
2002,50213
2003,46274
2004,44806
2005,47883
2006,47456
2007,46303
2008,46025
2009,47341
2010,27403
2011,28223
2012,30436
2013,28972
2014,34400
2015,41936
2016,38929
2017,33082
