Year,Visitors
1934,133770
1935,170327
1936,203731
1937,234465
1938,204084
1939,202305
1940,213355
1941,85408
1942,0
1943,0
1944,0
1945,0
1946,0
1947,279204
1948,419820
1949,512521
1950,558130
1951,641371
1952,663265
1953,757468
1954,827500
1955,882200
1956,956700
1957,953400
1958,987100
1959,998900
1960,1007000
1961,1063700
1962,933100
1963,994000
1964,766100
1965,953300
1966,1085000
1967,1034400
1968,1185300
1969,1259000
1970,1256700
1971,1273900
1972,1368298
1973,1253100
1974,1266600
1975,1351500
1976,1412900
1977,1141600
1978,1266080
1979,1196447
1980,1253098
1981,1332313
1982,1466162
1983,1450605
1984,1461025
1985,1652089
1986,1687899
1987,1739363
1988,1608694
1989,1452501
1990,1386847
1991,1234781
1992,1300818
1993,1152220
1994,1119473
1995,1054946
1996,1047672
1997,1115458
1998,1095638
1999,1167486
2000,1136296
2001,1034753
2002,1048371
2003,1004280
2004,903265
2005,826615
2006,804826
2007,739534
2008,705331
2009,767687
2010,763140
2011,813351
2012,877951
2013,856128
2014,893434
2015,981825
2016,959145
2017,997903
