Year,Visitors
1931,423
1932,395
1933,435
1934,650
1935,988
1936,1091
1937,1422
1938,1573
1939,2118
1940,2733
1941,1939
1942,1273
1943,323
1944,508
1945,782
1946,1876
1947,2190
1948,2331
1949,2856
1950,3989
1951,4746
1952,5780
1953,7261
1954,8400
1955,8000
1956,11900
1957,13200
1958,15800
1959,21000
1960,20500
1961,26500
1962,25400
1963,30000
1964,167500
1965,182800
1966,344300
1967,354600
1968,350400
1969,408300
1970,369100
1971,211100
1972,254080
1973,246100
1974,215000
1975,274800
1976,308400
1977,361100
1978,351577
1979,328097
1980,284015
1981,333596
1982,373526
1983,385992
1984,432073
1985,452286
1986,568989
1987,612831
1988,665283
1989,601107
1990,642189
1991,728305
1992,743806
1993,766670
1994,767368
1995,768163
1996,818667
1997,842169
1998,844958
1999,852048
2000,848348
2001,833202
2002,772620
2003,866498
2004,936007
2005,830253
2006,826635
2007,825320
2008,835860
2009,826425
2010,827247
2011,828145
2012,828523
2013,828478
2014,827761
2015,813686
2016,821406
2017,825660
