Year,Visitors
1968,11000
1970,118200
1971,88400
1975,130300
1976,217300
1977,175000
1978,227527
1979,216996
1980,164484
1981,113324
1982,95894
1983,124165
1984,85473
1985,128012
1986,2213555
1987,3040848
1988,2843214
1989,3285976
1990,3381595
1991,3344143
1992,3288132
1993,3319237
1994,3481327
1995,3672620
1996,3753944
1997,4109013
1998,4390268
1999,4467492
2000,4588273
2001,3601635
2002,2976795
2003,2941250
2004,2949231
2005,3487307
2006,3415397
2007,3509468
2008,3727030
2009,4080152
2010,4126378
2011,3985366
2012,3264439
2013,2180694
2014,4727110
2015,4597029
2016,4812930
2017,4737113
