Year,Visitors
1964,1849900
1965,2306100
1966,2830300
1967,3040500
1968,3475800
1969,4031300
1970,3987000
1971,4163200
1972,4943890
1973,4712000
1974,4331700
1975,5192600
1976,4989900
1977,5318400
1978,4995972
1979,3921968
1980,4788342
1981,4978838
1982,4021111
1983,4595071
1984,4560713
1985,4374799
1986,3991213
1987,4941569
1988,5180970
1989,5020069
1990,5449380
1991,5442379
1992,5116923
1993,5154610
1994,5228594
1995,5141039
1996,4901782
1997,4608454
1998,4804185
1999,4915414
2000,4581169
2001,4391478
2002,4455931
2003,4066365
2004,4106840
2005,3712812
2006,4487716
2007,4351609
2008,4644235
2009,4311949
2010,4653706
2011,4454771
2012,4441290
2013,4501898
2014,4426750
2015,4503220
2016,4692796
2017,4125418
