Year,Visitors
1911,450
1912,450
1913,450
1914,500
1915,500
1916,1909
1917,2437
1918,3150
1919,3677
1920,7720
1921,6296
1922,5068
1923,6787
1924,9583
1925,13587
1926,16542
1927,28818
1928,28274
1929,37244
1930,36656
1931,27675
1932,21895
1933,21771
1934,26776
1935,27345
1936,27744
1937,33661
1938,33761
1939,25109
1940,12877
1941,18725
1942,12199
1943,7332
1944,9215
1945,14998
1946,27994
1947,35681
1948,34395
1949,32129
1950,36114
1951,43705
1952,49758
1953,49232
1954,46100
1955,47800
1956,52400
1957,60200
1958,70700
1959,68100
1960,76900
1961,87500
1962,83900
1963,105700
1964,132400
1965,88100
1966,110500
1967,82900
1968,80100
1969,89800
1970,116600
1971,117100
1972,117503
1973,135100
1974,98200
1975,135400
1976,143400
1977,123200
1978,135620
1979,112482
1980,109202
1981,102768
1982,105190
1983,119229
1984,133680
1985,142252
1986,160936
1987,179915
1988,166782
1989,164011
1990,175025
1991,176910
1992,172345
1993,161886
1994,170572
1995,164753
1996,155941
1997,157447
1998,150715
1999,151185
2000,124130
2001,132630
2002,85375
2003,87687
2004,93933
2005,97214
2006,88295
2007,76854
2008,73763
2009,76350
2010,77347
2011,72308
2012,68631
2013,65106
2014,63698
2015,72606
2016,75752
2017,75583
