Year,Visitors
1955,264500
1956,301700
1957,324200
1958,348300
1959,471500
1960,467300
1961,547300
1962,649300
1963,873300
1964,1070500
1965,1089300
1966,1133000
1967,997400
1968,1094000
1969,1142400
1970,1227100
1971,1490300
1972,1577406
1973,1502400
1974,1510700
1975,1572400
1976,1579100
1977,1786500
1978,1799894
1979,1516879
1980,1510237
1981,1634592
1982,1698543
1983,1685628
1984,1396076
1985,1224687
1986,1535913
1987,1629277
1988,1929713
1989,2097991
1990,2072715
1991,2098930
1992,2047103
1993,2259889
1994,2383684
1995,2384388
1996,2355580
1997,2515057
1998,2737640
1999,2634587
2000,2647383
2001,2592889
2002,2923894
2003,2660535
2004,2208189
2005,2260628
2006,2125005
2007,2237378
2008,2146392
2009,2282543
2010,2193292
2011,1960711
2012,2302040
2013,2214565
2014,2153350
2015,2274635
2016,2411711
2017,2433703
