Year,Visitors
1976,21000
1977,37600
1978,50727
1979,50106
1980,64959
1981,51957
1982,62653
1983,68000
1984,86279
1985,100380
1986,95575
1987,88898
1988,100444
1989,232644
1990,283074
1991,320161
1992,335281
1993,294085
1994,257940
1995,348390
1996,379370
1997,374893
1998,357443
1999,553243
2000,446148
2001,625387
2002,610337
2003,704480
2004,720216
2005,692857
2006,803155
2007,860602
2008,486899
2009,601954
2010,530181
2011,508116
2012,480294
2013,416568
2014,430927
2015,400413
2016,458000
2017,399357
