Year,Visitors
1976,715400
1977,845900
1978,882619
1979,859943
1980,885620
1981,1066706
1982,1072818
1983,1075321
1984,1181302
1985,931769
1986,1136380
1987,1037027
1988,1038035
1989,949201
1990,1079022
1991,1159001
1992,1032992
1993,1211492
1994,1432880
1995,1380438
1996,1496961
1997,1368632
1998,703301
1999,846512
2000,1115345
2001,1062962
2002,1075747
2003,1045898
2004,1050211
2005,1007446
2006,1005402
2007,1038449
2008,994453
2009,1001665
2010,966099
2011,1005001
2012,994430
2013,1133688
2014,1451225
2015,1689754
2016,1629944
2017,1598586
