Year,Visitors
1965,19400
1966,20200
1967,23200
1968,26300
1969,26000
1970,33400
1971,55400
1972,60639
1973,62500
1974,59000
1975,71700
1976,80000
1977,75500
1978,85932
1979,74545
1980,56505
1981,89915
1982,97079
1983,100022
1984,102533
1985,116672
1986,172987
1987,172384
1988,212100
1989,257411
1990,276831
1991,339315
1992,395698
1993,434844
1994,429921
1995,448769
1996,447527
1997,432697
1998,436524
1999,446160
2000,401558
2001,368592
2002,367078
2003,386986
2004,371706
2005,393381
2006,392537
2007,417560
2008,436715
2009,436241
2010,435908
2011,473773
2012,452952
2013,462242
2014,542431
2015,634607
2016,776218
2017,742271
