Year,Visitors
1938,1500
1939,1500
1940,2000
1941,1975
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1950,3066
1951,13192
1952,6411
1953,9991
1954,12900
1955,7500
1956,62500
1957,56900
1958,65000
1959,89600
1960,102500
1961,136800
1962,163500
1963,93200
1964,92500
1965,108500
1966,94000
1967,146600
1968,171000
1969,210600
1970,225900
1971,225500
1972,251163
1973,288800
1974,214100
1975,263400
1976,425100
1977,428800
1978,392428
1979,288860
1980,342788
1981,397789
1982,289486
1983,331734
1984,296230
1985,320503
1986,383742
1987,428808
1988,469556
1989,515278
1990,562477
1991,618056
1992,675837
1993,610707
1994,605324
1995,648864
1996,678012
1997,625680
1998,656026
1999,680153
2000,612656
2001,527760
2002,525646
2003,535441
2004,549708
2005,550255
2006,511511
2007,554907
2008,604811
2009,617208
2010,662661
2011,668834
2012,673345
2013,663670
2014,786514
2015,941029
2016,1064904
2017,1150165
