Year,Visitors
1934,94988
1935,154690
1936,210812
1937,256087
1938,280165
1939,228187
1940,235277
1941,307703
1942,160964
1943,137228
1944,140340
1945,166693
1946,273201
1947,284503
1948,275938
1949,317924
1950,357679
1951,430250
1952,515246
1953,533680
1954,503500
1955,478900
1956,440800
1957,451200
1958,373500
1959,356200
1960,366300
1961,385600
1962,416600
1963,444200
1964,322400
1965,469900
1966,488500
1967,473800
1968,446300
1969,463000
1970,512200
1971,565100
1972,718148
1973,699400
1974,566100
1975,736400
1976,775700
1977,689600
1978,759447
1979,650095
1980,609510
1981,654012
1982,659688
1983,672624
1984,692486
1985,699248
1986,732882
1987,755056
1988,757131
1989,766621
1990,789033
1991,794382
1992,808780
1993,715811
1994,675030
1995,643252
1996,668200
1997,582732
1998,562731
1999,692670
2000,648814
2001,613465
2002,668298
2003,665309
2004,643594
2005,600252
2006,630903
2007,632048
2008,618769
2009,667783
2010,708549
2011,741042
2012,727243
2013,778128
2014,760708
2015,819154
2016,854664
2017,876975
