Year,Visitors
1924,1280
1925,1794
1926,10904
1927,26436
1928,46335
1929,76822
1930,90104
1931,81275
1932,61474
1933,53768
1934,88349
1935,113753
1936,148129
1937,201333
1938,205765
1939,212348
1940,236653
1941,285418
1942,124809
1943,89128
1944,122467
1945,193237
1946,380465
1947,405266
1948,435481
1949,431187
1950,467283
1951,493618
1952,531751
1953,510318
1954,444300
1955,466200
1956,455000
1957,451100
1958,435200
1959,483900
1960,537000
1961,590000
1962,556000
1963,586600
1964,588000
1965,591000
1966,604800
1967,630800
1968,668400
1969,672900
1970,712700
1971,791600
1972,856086
1973,840100
1974,672400
1975,790000
1976,876500
1977,862800
1978,867277
1979,721647
1980,672963
1981,771766
1982,781963
1983,712247
1984,712989
1985,732482
1986,752552
1987,781300
1988,786135
1989,792378
1990,747016
1991,679450
1992,688742
1993,687161
1994,617087
1995,588609
1996,557217
1997,540797
1998,522076
1999,514418
2000,469303
2001,455621
2002,476259
2003,457631
2004,419599
2005,413786
2006,407367
2007,409560
2008,400381
2009,432639
2010,428524
2011,365000
2012,381058
2013,388566
2014,397309
2015,445720
2016,466773
2017,520026
