Year,Visitors
1919,1500
1920,3200
1921,3000
1922,3000
1923,1000
1924,7000
1925,7000
1926,14965
1927,12617
1928,7600
1929,12000
1930,16500
1931,18000
1932,25000
1933,14000
1934,22000
1935,24000
1936,19950
1937,26100
1938,30200
1939,34700
1940,35100
1941,37025
1942,19400
1943,11298
1944,11100
1945,14098
1946,23410
1947,30900
1948,31200
1949,28500
1950,29100
1951,28140
1952,31325
1953,31200
1954,31000
1955,30200
1956,27200
1957,25300
1958,31400
1959,37900
1960,37300
1961,41100
1962,40300
1963,42800
1964,65300
1965,63800
1966,73300
1967,72600
1968,75500
1969,48700
1970,55600
1971,60900
1972,54200
1973,49500
1974,43600
1975,48800
1976,50700
1977,47900
1978,49634
1979,44297
1980,45687
1981,46200
1982,44824
1983,39861
1984,39946
1985,43810
1986,46968
1987,38849
1988,47869
1989,43566
1990,53857
1991,62640
1992,61984
1993,54148
1994,56123
1995,65604
1996,64680
1997,65109
1998,70121
1999,65278
2000,62265
2001,60542
2002,58675
2003,61373
2004,57692
2005,53521
2006,49823
2007,49182
2008,45178
2009,50935
2010,48580
2011,46358
2012,48710
2013,48466
2014,50892
2015,55506
2016,60132
2017,59615
