Year,Visitors
1934,17120
1935,21000
1936,22000
1937,21719
1938,22500
1939,15996
1940,15762
1941,16506
1942,7010
1943,5150
1944,6064
1945,13736
1946,22886
1947,30722
1948,37577
1949,34244
1950,37120
1951,45140
1952,59909
1953,62935
1954,57100
1955,89000
1956,95600
1957,94700
1958,101900
1959,118700
1960,115800
1961,116600
1962,92300
1963,143100
1964,153900
1965,214000
1966,211200
1967,197300
1968,233000
1969,298400
1970,317000
1971,243300
1972,225658
1973,180000
1974,259400
1975,352300
1976,411300
1977,351100
1978,347713
1979,362178
1980,404423
1981,402680
1982,374695
1983,329268
1984,353092
1985,385381
1986,425732
1987,430559
1988,477493
1989,480276
1990,417330
1991,456001
1992,392628
1993,557824
1994,710981
1995,539060
1996,543760
1997,608399
1998,578974
1999,597460
2000,550657
2001,690652
2002,586938
2003,569455
2004,516331
2005,505158
2006,488376
2007,514871
2008,538016
2009,492353
2010,525831
2011,493147
2012,631809
2013,466450
2014,762907
2015,793601
2016,899676
2017,909199
