Year,Visitors
1973,17000
1974,104700
1975,103100
1976,130000
1977,120100
1978,118929
1979,111129
1980,78355
1981,104717
1982,114800
1983,119639
1984,125726
1985,148992
1986,194987
1987,220987
1988,211518
1989,200677
1990,199007
1991,220284
1992,211284
1993,257594
1994,250645
1995,222548
1996,186130
1997,193649
1998,186480
1999,162495
2000,183418
2001,216320
2002,221604
2003,260142
2004,244496
2005,231380
2006,221048
2007,218195
2008,197767
2009,215852
2010,226535
2011,113817
2012,104148
2013,121937
2014,108399
2015,122431
2016,147937
2017,86400
