Year,Visitors
1980,345956
1981,471051
1982,665192
1983,1081924
1984,813317
1985,1499103
1986,1670336
1987,1533016
1988,1691810
1989,1668113
1990,1762950
1991,1660563
1992,2325277
1993,2844674
1994,3472026
1995,3457002
1996,3540375
1997,2957698
1998,2935043
1999,2898155
2000,2659709
2001,2751256
2002,2806578
2003,2694541
2004,2672138
2005,2511306
2006,2842670
2007,2836077
2008,2826171
2009,2830655
2010,3011393
2011,3161297
2012,3168137
2013,3039892
2014,3119160
2015,3173204
2016,2736385
2017,2768499
