Year,Visitors
1925,2000
1926,2500
1927,1500
1928,1425
1929,2750
1930,2300
1931,1780
1932,2725
1933,5817
1934,6068
1935,6565
1936,7717
1937,8014
1938,6271
1939,5536
1940,2245
1941,1507
1942,552
1943,1975
1944,2258
1945,1126
1946,1534
1947,1248
1948,1211
1949,1496
1950,1961
1951,2539
1952,3337
1953,3847
1954,8600
1955,12400
1956,20900
1957,23400
1958,24100
1959,35000
1960,25800
1961,22100
1962,21600
1963,38800
1964,29100
1965,33100
1966,34800
1967,32900
1968,27100
1969,34600
1970,63000
1971,29800
1972,32910
1973,25300
1974,28600
1975,28500
1976,30600
1977,42800
1978,42713
1979,48810
1980,51652
1981,73399
1982,72874
1983,71420
1984,65999
1985,43133
1986,49473
1987,57988
1988,65398
1989,84433
1990,72675
1991,72203
1992,72976
1993,67867
1994,76173
1995,74664
1996,76868
1997,113336
1998,83805
1999,83337
2000,81015
2001,68527
2002,79171
2003,84621
2004,71812
2005,45539
2006,37923
2007,68211
2008,37180
2009,37376
2010,34226
2011,39175
2012,39044
2013,29917
2014,38386
2015,38914
2016,54084
2017,55334
