Year,Visitors
1950,1291828
1951,827277
1952,844006
1953,729895
1954,826100
1956,777700
1957,905600
1958,957100
1959,1034400
1976,2027500
1977,1950500
1978,1155121
1979,1434484
1980,1927044
1981,1697658
1982,2094319
1983,2238456
1984,2026727
1985,2129513
1986,1983835
1987,1854417
1988,1884537
1989,1962353
1990,1600628
1991,1453032
1992,1385386
1993,1370475
1994,1446711
1995,1686136
1996,1551574
1997,1572079
1998,1615577
1999,1602065
2000,1389537
2001,1608792
2002,1510019
2003,1391334
2004,1275733
2005,1295212
2006,1343793
2007,1368806
2008,1230609
2009,1238484
2010,1253637
2011,1212139
2012,1487039
2013,1099669
2014,1152083
2015,1254105
2016,1676421
2017,1533684
