Year,Visitors
1934,15331
1935,6420
1936,6015
1937,9228
1938,9145
1939,8179
1940,10120
1941,12076
1942,6432
1943,3673
1944,3569
1945,6373
1946,12089
1947,14764
1948,14744
1949,16063
1950,16995
1951,17507
1952,23541
1953,23568
1954,23000
1955,35500
1956,46500
1957,47000
1958,49900
1959,41800
1960,45400
1961,43400
1962,51700
1963,51800
1964,43700
1965,47000
1966,46900
1967,47600
1968,50000
1969,50000
1970,54400
1971,54100
1972,67912
1973,67700
1974,52800
1975,58900
1976,58500
1977,42700
1978,49122
1979,49484
1980,49232
1981,51864
1982,55058
1983,51737
1984,59818
1985,61680
1986,61472
1987,61895
1988,63776
1989,70342
1990,78191
1991,83687
1992,104816
1993,127840
1994,88544
1995,94171
1996,92842
1997,80710
1998,73746
1999,102541
2000,85562
2001,75824
2002,67040
2003,44976
2004,37586
2005,60224
2006,61579
2007,58434
2008,56557
2009,60851
2010,55436
2011,37037
2012,41159
2013,40646
2014,45125
2015,56960
2016,51277
2017,63132
