Year,Visitors
1963,1200
1964,1500
1965,1600
1966,300
1967,15700
1968,31000
1969,33100
1970,32000
1971,24400
1972,31947
1973,44700
1974,31000
1975,74400
1976,92600
1977,87200
1978,46416
1979,82937
1980,104574
1981,87514
1982,172287
1983,205024
1984,203411
1985,164132
1986,172913
1987,174607
1988,168592
1989,152662
1990,144083
1991,149263
1992,169181
1993,184867
1994,175226
1995,525882
1996,490715
1997,488757
1998,574270
1999,607057
2000,482571
2001,520428
2002,613935
2003,585919
2004,537716
2005,434107
2006,375256
2007,360806
2008,332177
2009,348745
2010,277515
2011,242756
2012,249594
2013,212029
2014,342161
2015,324816
2016,364807
2017,383687
