Year,Visitors
1951,32512
1952,56843
1953,55619
1954,66300
1955,44600
1956,38000
1957,41600
1958,40100
1959,44600
1960,49500
1961,54900
1962,85400
1963,111200
1964,91900
1970,408100
1971,1960900
1972,2261400
1974,2453300
1975,3079500
1976,3105700
1977,2562900
1978,3182099
1979,2832646
1980,3101125
1981,5450477
1982,6057618
1983,6175834
1984,6159201
1985,6184948
1986,4895961
1987,5962193
1988,2034097
1989,1970287
1990,1943676
1991,1945201
1992,3586255
1993,3661497
1994,1276705
1995,1624288
1996,904509
1997,1934030
1998,1984400
1999,2116916
2000,3115654
2001,4174048
2002,3202378
2003,2801592
2004,2918399
2005,3000005
2006,3039178
2007,2809968
2008,3111468
2009,3751681
2010,4111238
2011,3937504
2012,4712377
2013,4941367
2014,5066219
2015,4798312
2016,4813078
2017,4859573
