Year,Visitors
1919,3000
1920,1200
1921,5500
1922,6000
1923,7000
1924,8000
1925,9000
1926,9000
1927,9500
1928,10000
1929,12000
1930,13000
1931,16000
1932,18000
1933,20000
1934,1718
1935,4959
1936,11033
1937,14634
1938,64715
1939,37130
1940,39316
1941,28608
1942,10914
1943,4946
1944,7888
1945,18039
1946,38366
1947,52939
1948,65699
1949,72021
1950,100104
1951,106613
1952,119193
1953,128434
1954,150500
1955,162300
1956,204400
1957,182800
1958,207300
1959,189000
1960,123500
1961,243500
1962,317400
1963,347900
1964,354800
1965,345400
1966,415000
1967,447100
1968,362300
1969,385800
1970,473100
1971,375100
1972,459428
1973,432000
1974,496700
1975,450600
1976,514900
1977,553200
1978,561405
1979,290584
1980,275229
1981,325210
1982,319662
1983,279492
1984,289556
1985,319248
1986,361576
1987,368250
1988,374735
1989,388588
1990,369164
1991,373013
1992,392761
1993,450677
1994,273508
1995,249029
1996,318717
1997,307088
1998,291690
1999,297113
2000,269301
2001,237604
2002,294033
2003,336642
2004,352579
2005,347136
2006,332654
2007,395260
2008,390972
2009,400266
2010,433561
2011,435460
2012,454510
2013,409351
2014,416862
2015,588006
2016,391075
2017,375035
