Year,Visitors
1932,400000
1933,66418
1934,58303
1935,367172
1936,468575
1937,663971
1938,595413
1939,410115
1940,526686
1941,698133
1942,314715
1943,199160
1944,250661
1945,239218
1946,518260
1947,680158
1948,759616
1949,902467
1950,819678
1951,861033
1952,1161514
1953,1414522
1954,1234100
1955,1284800
1956,1428500
1957,2158100
1958,1701900
1959,1665600
1960,3399400
1961,5763000
1962,5792000
1963,6280800
1964,6679000
1965,6679900
1966,7038500
1967,7995400
1968,8151800
1969,8470100
1970,8721100
1971,5965700
1972,5970527
1973,6621600
1974,6217900
1975,6801800
1976,7930100
1977,7393500
1978,7570504
1979,7172127
1980,6338912
1981,8558803
1982,8518883
1983,2068928
1984,2504777
1985,2138188
1986,1990230
1987,2431687
1988,2472650
1989,2223181
1990,2308398
1991,2197903
1992,2188121
1993,2345401
1994,3296242
1995,3303324
1996,3145039
1997,3218180
1998,3122557
1999,3136262
2000,3153600
2001,3282461
2002,3324188
2003,3329139
2004,3327573
2005,3338695
2006,3344018
2007,3343910
2008,3332039
2009,3324751
2010,3459965
2011,3414577
2012,3274187
2013,3168731
2014,3335060
2015,3343909
2016,3352656
2017,3333448
