Year,Visitors
1955,7300
1956,10400
1957,11500
1958,13000
1959,13900
1960,16900
1961,18200
1962,24800
1963,28300
1964,40000
1965,59100
1966,46500
1967,51000
1968,44700
1969,30000
1970,39400
1971,47300
1972,58138
1973,47700
1974,36700
1975,71700
1976,73100
1977,61900
1978,60187
1979,59751
1980,42648
1981,46681
1982,43330
1983,33539
1984,39319
1985,44026
1986,53832
1987,55793
1988,69730
1989,56734
1990,56993
1991,61893
1992,69179
1993,78931
1994,86667
1995,92100
1996,93656
1997,87788
1998,90565
1999,87183
2000,84898
2001,89107
2002,87311
2003,89309
2004,89591
2005,86618
2006,71111
2007,71702
2008,91028
2009,106409
2010,136284
2011,153042
2012,97579
2013,92936
2014,118838
2015,132584
2016,136075
2017,131614
