Year,Visitors
1941,8800
1942,3150
1943,700
1944,0
1945,0
1946,1222
1947,1271
1948,1243
1949,2059
1950,2058
1951,4386
1952,4710
1953,4700
1954,5000
1955,6700
1956,7800
1957,7800
1958,8000
1959,8800
1960,8800
1961,8800
1962,9600
1963,17300
1964,15500
1965,31400
1966,23300
1967,43400
1968,34800
1969,31900
1970,31300
1971,24100
1972,41500
1973,33900
1974,36400
1975,44900
1976,51500
1977,25300
1978,28000
1979,78441
1980,85766
1981,64614
1982,52502
1983,57842
1984,65511
1985,79732
1986,94513
1987,90786
1988,93604
1989,95020
1990,124858
1991,147555
1992,179361
1993,159553
1994,167831
1995,158175
1996,189434
1997,188369
1998,180727
1999,186373
2000,212876
2001,218361
2002,214257
2003,228162
2004,208565
2005,208936
2006,143664
2007,197255
2008,235176
2009,224394
2010,226868
2011,223923
2012,231973
2013,216239
2014,200836
2015,206740
2016,213299
2017,212692
