Year,Visitors
1904,1500
1905,1400
1906,1800
1907,2600
1908,5275
1909,4171
1910,5000
1911,4500
1912,5235
1913,6253
1914,7096
1915,11371
1916,12265
1917,11645
1918,13231
1919,16645
1920,20135
1921,28617
1922,33016
1923,52017
1924,64312
1925,65018
1926,86019
1927,82354
1928,113323
1929,128435
1930,157693
1931,170284
1932,109738
1933,90512
1934,118699
1935,107701
1936,180382
1937,202403
1938,190699
1939,225101
1940,252482
1941,274002
1942,88568
1943,28850
1944,44389
1945,79535
1946,208640
1947,378000
1948,313580
1949,330829
1950,310796
1951,289286
1952,312677
1953,332835
1954,370600
1955,343800
1956,359800
1957,330500
1958,333900
1959,341000
1960,397700
1961,415600
1962,592400
1963,475700
1964,494100
1965,480500
1966,552500
1967,499400
1968,578300
1969,544900
1970,535000
1971,535000
1972,566655
1973,505300
1974,496100
1975,356500
1976,532700
1977,558300
1978,553374
1979,410749
1980,455143
1981,503404
1982,435589
1983,379008
1984,419829
1985,390604
1986,402789
1987,460550
1988,443430
1989,430734
1990,384941
1991,456931
1992,461668
1993,381747
1994,454215
1995,496041
1996,476957
1997,451548
1998,471865
1999,417992
2000,426883
2001,457373
2002,456620
2003,479183
2004,417066
2005,447240
2006,388972
2007,468958
2008,415686
2009,446516
2010,448319
2011,423551
2012,447251
2013,523027
2014,535508
2015,614712
2016,756344
2017,711749
