Year,Visitors
1925,3349
1926,4620
1927,5771
1928,7768
1929,7730
1930,7365
1931,5885
1932,6296
1933,6068
1934,7627
1935,10353
1936,11965
1937,18336
1938,21182
1939,19270
1940,18715
1941,21683
1942,5999
1943,1892
1944,2347
1945,5292
1946,18978
1947,27157
1948,31911
1949,36513
1950,50744
1951,56577
1952,77090
1953,95221
1954,98700
1955,107800
1956,119800
1957,146400
1958,117200
1959,128900
1960,134300
1961,123500
1962,160800
1963,134900
1964,172000
1965,183900
1966,198700
1967,214600
1968,190500
1969,199400
1970,223500
1971,274600
1972,205932
1973,190900
1974,163400
1975,217000
1976,251300
1977,258400
1978,152431
1979,220698
1980,162454
1981,236525
1982,294387
1983,273693
1984,220801
1985,172503
1986,178332
1987,202800
1988,217022
1989,189317
1990,207766
1991,217879
1992,244806
1993,238508
1994,227918
1995,236008
1996,217586
1997,218036
1998,193304
1999,215567
2000,211642
2001,185799
2002,183573
2003,178824
2004,183111
2005,203332
2006,176998
2007,221672
2008,227179
2009,194046
2010,215698
2011,198545
2012,197529
2013,200525
2014,214993
2015,246826
2016,255436
2017,285227
