Year,Visitors
1957,25300
1958,78200
1959,165400
1960,135100
1961,144100
1962,151900
1963,159700
1964,176200
1965,221500
1966,234000
1967,237200
1968,246500
1969,236700
1970,261500
1971,304700
1972,495753
1973,450500
1974,403500
1975,427200
1976,448800
1977,427000
1978,492734
1979,452889
1980,485666
1981,425046
1982,632023
1983,718375
1984,719816
1985,729685
1986,788593
1987,776593
1988,760840
1989,887570
1990,897802
1991,951728
1992,962396
1993,975997
1994,954010
1995,1020369
1996,1051683
1997,1372951
1998,1317835
1999,1434425
2000,1520386
2001,887488
2002,915347
2003,987782
2004,929583
2005,1006447
2006,936929
2007,994985
2008,843893
2009,883663
2010,918746
2011,828947
2012,853998
2013,768363
2014,879934
2015,840601
2016,820387
2017,737547
