Year,Visitors
1968,302600
1969,434800
1970,561900
1971,750400
1972,731916
1973,715900
1974,709700
1975,852300
1976,736500
1977,865900
1978,729260
1979,809007
1980,891490
1981,988951
1982,994265
1983,1050217
1984,994143
1985,1071782
1986,1114756
1987,1096823
1988,1076510
1989,1125447
1990,1102283
1991,1090929
1992,1098183
1993,1089098
1994,1064538
1995,993072
1996,1017256
1997,966680
1998,973652
1999,1044523
2000,1022320
2001,879776
2002,732713
2003,1008810
2004,1006102
2005,882768
2006,936380
2007,964640
2008,1007444
2009,953169
2010,969549
2011,924468
2012,862612
2013,814163
2014,931367
2015,944742
2016,982498
2017,1041446
