Year,Visitors
1978,496400
1979,543025
1980,563300
1981,596300
1982,717815
1983,939562
1984,1018828
1985,1004858
1986,1042148
1987,1113405
1988,1229717
1989,1159648
1990,1200622
1991,1358984
1992,1430382
1993,2266139
1994,3266401
1995,3195207
1996,3455878
1997,3527837
1998,3467107
1999,3324284
2000,3324918
2001,3123353
2002,3217935
2003,2879591
2004,3306175
2005,2533827
2006,2468816
2007,2486656
2008,2828233
2009,2589288
2010,2492670
2011,2161185
2012,2299722
2013,2103010
2014,2189849
2015,2284612
2016,2423390
2017,2226879
