Year,Visitors
1922,7
1923,34
1924,62
1925,206
1926,533
1927,651
1928,802
1929,1038
1930,951
1931,771
1932,357
1933,386
1934,628
1935,877
1936,1073
1937,1378
1938,1487
1939,2262
1940,1201
1941,1688
1942,5
1943,12
1944,0
1945,19
1946,1134
1947,3466
1948,4512
1949,4831
1950,6672
1951,7807
1952,7310
1953,6839
1954,5000
1955,3400
1956,5200
1957,10700
1958,25900
1959,25800
1960,22500
1961,18300
1962,16600
1963,18400
1964,19200
1965,21400
1966,31300
1967,39800
1968,33300
1969,45400
1970,46000
1971,44500
1972,88625
1973,137300
1974,161400
1975,160600
1976,157600
1977,183200
1978,223000
1979,251105
1980,216361
1981,256593
1982,321868
1983,346082
1984,395099
1985,436545
1986,529749
1987,575013
1988,592431
1989,543640
1990,546693
1991,558870
1992,503674
1993,505565
1994,490311
1995,543309
1996,341385
1997,354278
1998,372519
1999,386867
2000,363983
2001,360191
2002,311335
2003,360189
2004,404236
2005,403520
2006,415935
2007,458308
2008,432309
2009,358041
2010,378855
2011,406582
2012,388433
2013,530922
2014,531315
2015,560757
2016,587412
2017,642809
