Year,Visitors
1934,7000
1935,6300
1936,6500
1937,3760
1938,5368
1939,7450
1940,8239
1941,10251
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1956,34800
1957,37600
1958,35200
1959,18900
1960,34900
1961,48500
1962,63200
1963,52900
1964,79900
1965,88400
1966,108500
1967,104500
1968,108200
1969,94500
1970,89600
1971,79800
1972,86717
1973,83500
1974,88800
1975,87600
1976,84800
1977,108900
1978,97961
1979,81323
1980,79130
1981,86084
1982,79999
1983,73612
1984,97809
1985,108678
1986,89518
1987,118913
1988,116819
1989,125623
1990,158662
1991,145439
1992,90152
1993,134653
1994,105854
1995,105230
1996,123364
1997,142739
1998,121108
1999,152642
2000,147983
2001,155478
2002,147362
2003,118550
2004,114788
2005,67402
2006,105303
2007,120758
2008,134005
2009,110212
2010,80349
2011,97207
2012,87845
2013,91794
2014,114414
2015,140313
2016,135404
2017,109571
