Year,Visitors
1950,5620
1951,26579
1952,38279
1953,47043
1954,45000
1955,46100
1956,54400
1957,63300
1958,63800
1959,66100
1960,78600
1961,71800
1962,72800
1963,78200
1964,78200
1965,91200
1966,98800
1967,92300
1968,101500
1969,87100
1970,134300
1971,135500
1972,139200
1973,143600
1974,114800
1975,143600
1976,166400
1977,157300
1978,142200
1979,179738
1980,172932
1981,165366
1982,197272
1983,220721
1984,221504
1985,201869
1986,209398
1987,209774
1988,152281
1989,116714
1990,147675
1991,180974
1992,205387
1993,215493
1994,250385
1995,211549
1996,206131
1997,221633
1998,242226
1999,275505
2000,253421
2001,221282
2002,194161
2003,271737
2004,236717
2005,240172
2006,245503
2007,260843
2008,265944
2009,246608
2010,265406
2011,355653
2012,432981
2013,279924
2014,342039
2015,293647
2016,232463
2017,233354
