Year,Visitors
1921,7000
1922,8500
1923,3000
1924,7800
1925,8450
1926,16640
1927,10400
1928,8000
1929,12000
1930,14720
1931,11000
1932,11585
1933,11009
1934,17470
1935,22367
1936,26503
1937,28703
1938,53389
1939,27003
1940,31107
1941,40757
1942,12727
1943,5265
1944,5740
1945,8192
1946,35252
1947,39188
1948,52183
1949,57168
1950,63254
1951,70331
1952,91471
1953,95858
1954,100900
1955,93700
1956,122300
1957,104700
1958,115300
1959,120400
1960,117000
1961,114200
1962,124900
1963,125400
1964,109600
1965,127600
1966,125000
1967,117800
1968,155200
1969,139300
1970,147400
1971,135800
1972,150266
1973,152500
1974,122600
1975,148900
1976,167100
1977,153900
1978,271155
1979,226091
1980,213692
1981,285310
1982,264303
1983,267276
1984,219855
1985,216787
1986,290532
1987,328012
1988,343147
1989,349216
1990,428948
1991,456712
1992,457259
1993,426457
1994,454776
1995,420528
1996,436591
1997,389137
1998,399064
1999,395892
2000,383468
2001,375596
2002,404934
2003,396266
2004,386558
2005,369575
2006,335764
2007,322272
2008,336303
2009,391023
2010,436200
2011,395203
2012,416994
2013,417326
2014,440875
2015,478833
2016,496210
2017,499031
