Year,Visitors
1933,9970
1934,19678
1935,42061
1936,40815
1937,48874
1938,58320
1939,61301
1940,80842
1941,100829
1942,44755
1943,14374
1944,13661
1945,31112
1946,100976
1947,161953
1948,162150
1949,208557
1950,189045
1951,219520
1952,296106
1953,338899
1954,337900
1955,342200
1956,300100
1957,333400
1958,334300
1959,335700
1960,355900
1961,397900
1962,363400
1963,408100
1964,403600
1965,453000
1966,437800
1967,476700
1968,469600
1969,458800
1970,580500
1971,290900
1972,293999
1973,315400
1974,368800
1975,545500
1976,582400
1977,620400
1978,673610
1979,631152
1980,618140
1981,630402
1982,679992
1983,635582
1984,621197
1985,576679
1986,586668
1987,665345
1988,692267
1989,664449
1990,690965
1991,743608
1992,869183
1993,998474
1994,971487
1995,1109421
1996,1189215
1997,1188212
1998,1177746
1999,1227583
2000,1179094
2001,1014636
2002,897596
2003,890375
2004,764820
2005,800113
2006,744440
2007,704122
2008,871938
2009,828574
2010,984775
2011,946867
2012,984568
2013,951972
2014,1101312
2015,1154843
2016,1296283
2017,1294827
