Year,Visitors
1969,666300
1970,815300
1971,1007900
1972,826046
1973,505400
1974,521000
1975,799300
1976,1246200
1977,1518200
1978,1697651
1979,2002543
1980,2470965
1981,2396100
1982,2135790
1983,2293666
1984,2136212
1985,2186179
1986,2247087
1987,2546884
1988,2527862
1989,2434195
1990,2330419
1991,4275847
1992,4037407
1993,4167638
1994,4773659
1995,4726251
1996,4657735
1997,4752100
1998,5019175
1999,4953427
2000,4900745
2001,4867273
2002,5165415
2003,5059410
2004,5052264
2005,5052264
2006,5254216
2007,4836229
2008,5127074
2009,5213030
2010,5285761
2011,4986700
2012,4970802
2013,4843350
2014,4041672
2015,3735134
2016,3677744
2017,3400944
