Year,Visitors
1937,5088
1938,8897
1939,10220
1940,10928
1941,8706
1942,2268
1943,1665
1944,1606
1945,2792
1946,7643
1947,9924
1948,10418
1949,12408
1950,12911
1951,12362
1952,13688
1953,22334
1954,70700
1955,68700
1956,73100
1957,65700
1958,107200
1959,111500
1960,142400
1961,167100
1962,260400
1963,223000
1964,231200
1965,256100
1966,296100
1967,310600
1968,308300
1969,337800
1970,371400
1971,404400
1972,488955
1973,405300
1974,326000
1975,373400
1976,391600
1977,399700
1978,415508
1979,295837
1980,332781
1981,345784
1982,396938
1983,427375
1984,493140
1985,418187
1986,430891
1987,412089
1988,474452
1989,436303
1990,450368
1991,447781
1992,480412
1993,534274
1994,480576
1995,496509
1996,464133
1997,446624
1998,420295
1999,410742
2000,397069
2001,326373
2002,299142
2003,289849
2004,325279
2005,360584
2006,278473
2007,230914
2008,201724
2009,203862
2010,197812
2011,213559
2012,302858
2013,274361
2014,250625
2015,291799
2016,304312
2017,315859
