Year,Visitors
1937,706
1938,1130
1939,1500
1940,1141
1941,757
1942,0
1943,0
1944,0
1945,2154
1946,8787
1947,6685
1948,5968
1949,7355
1950,7025
1951,5405
1952,4376
1953,6708
1954,6200
1955,4300
1956,5000
1957,3600
1958,4200
1959,4400
1960,8900
1961,14400
1962,7700
1963,26200
1964,43200
1965,32200
1966,35300
1967,22100
1968,9000
1969,6900
1970,12900
1971,4000
1972,5066
1973,6100
1974,5100
1975,9700
1976,8900
1977,11600
1978,10361
1979,9076
1980,8644
1981,10150
1982,10700
1983,11004
1984,11900
1985,13213
1986,15379
1987,16315
1988,16937
1989,19441
1990,19402
1991,18231
1992,21581
1993,24020
1994,16736
1995,32870
1996,35127
1997,47224
1998,60136
1999,74186
2000,83704
2001,79186
2002,79582
2003,74741
2004,67917
2005,61765
2006,64122
2007,60895
2008,63947
2009,52011
2010,53890
2011,75171
2012,60550
2013,58401
2014,64865
2015,70862
2016,73661
2017,54281
