Year,Visitors
1956,5700
1957,15000
1958,18800
1959,20400
1960,23800
1961,28500
1962,33600
1963,32600
1964,40600
1965,45100
1966,48600
1967,50400
1968,53500
1969,48700
1970,55900
1971,55900
1972,57772
1973,58700
1974,47500
1975,52600
1976,54600
1977,52400
1978,49661
1979,52999
1980,44695
1981,44514
1982,43927
1983,39121
1984,40796
1985,32599
1986,37916
1987,41778
1988,55832
1989,62103
1990,55872
1991,63231
1992,74883
1993,61621
1994,58050
1995,55760
1996,53603
1997,67659
1998,61330
1999,26010
2000,12863
2001,54419
2002,54935
2003,3359
2004,0
2005,0
2006,8753
2007,9342
2008,8027
2009,27061
2010,63009
2011,55284
2012,52554
2013,46677
2014,51344
2015,56317
2016,57694
2017,59323
