Year,Visitors
1950,736
1951,5594
1952,12922
1953,22016
1954,37100
1955,40100
1956,51000
1957,60100
1958,66900
1959,65400
1960,60600
1961,67500
1962,54100
1963,74400
1964,84500
1965,88800
1966,81200
1967,82100
1968,97200
1969,117100
1970,136000
1971,93900
1972,79074
1973,76400
1974,62800
1975,69500
1976,67700
1977,65300
1978,67570
1979,59064
1980,75555
1981,79881
1982,94305
1983,99562
1984,92793
1985,93074
1986,87764
1987,87634
1988,101565
1989,109665
1990,108522
1991,125697
1992,128942
1993,89434
1994,99838
1995,75090
1996,93894
1997,76573
1998,70559
1999,80414
2000,77563
2001,79846
2002,75061
2003,79658
2004,93575
2005,88546
2006,90199
2007,88268
2008,68696
2009,78177
2010,79783
2011,82581
2012,78540
2013,71074
2014,77812
2015,81901
2016,77195
2017,67006
