Year,Visitors
1920,2000
1921,3000
1922,2500
1923,2500
1924,3200
1925,1800
1926,5794
1927,5178
1928,5356
1929,2625
1930,3500
1931,3854
1932,2700
1933,2467
1934,2800
1935,2475
1936,1898
1937,2298
1938,3208
1939,2639
1940,1593
1941,1328
1942,475
1943,327
1944,517
1945,704
1946,1578
1947,1944
1948,2282
1949,3260
1950,4090
1951,3881
1952,4863
1953,4760
1954,5400
1955,5200
1956,6900
1957,8600
1958,13100
1959,14700
1960,18400
1961,19600
1962,22000
1963,16300
1964,16800
1965,19600
1966,21400
1967,24000
1968,25700
1969,25100
1970,26300
1971,27300
1972,31645
1973,28200
1974,24900
1975,29200
1976,29600
1977,30300
1978,33253
1979,29635
1980,29523
1981,27536
1982,29933
1983,29278
1984,33125
1985,47299
1986,54941
1987,56426
1988,61178
1989,67256
1990,69343
1991,69439
1992,81475
1993,80470
1994,87548
1995,83564
1996,82655
1997,80146
1998,79953
1999,80529
2000,67707
2001,68886
2002,60143
2003,57889
2004,65877
2005,51825
2006,52297
2007,51492
2008,45178
2009,48245
2010,52566
2011,48332
2012,44808
2013,40051
2014,46256
2015,49390
2016,59422
2017,59013
