Year,Visitors
1948,7482
1949,94927
1950,123405
1951,142971
1952,168621
1953,206773
1954,218000
1955,247100
1956,267000
1957,344700
1958,443300
1959,500200
1960,579200
1961,566800
1962,626100
1963,669200
1964,792600
1965,977600
1966,1017100
1967,1098300
1968,1251500
1969,1187200
1970,1273500
1971,1100500
1972,1534328
1973,1044000
1974,781200
1975,782400
1976,955700
1977,948000
1978,923714
1979,718102
1980,744244
1981,564721
1982,550168
1983,577439
1984,628658
1985,697646
1986,739072
1987,787493
1988,1026188
1989,913372
1990,957925
1991,1292014
1992,1025686
1993,973706
1994,886455
1995,820466
1996,890167
1997,989532
1998,1118215
1999,1073982
2000,995390
2001,1049851
2002,968909
2003,1040648
2004,1181355
2005,1233837
2006,954022
2007,1074764
2008,822118
2009,900882
2010,915538
2011,934351
2012,1141906
2013,1047116
2014,1110901
2015,1077427
2016,930907
2017,1018557
