Year,Visitors
1941,34326
1942,115430
1943,117424
1944,105660
1945,69813
1946,73824
1947,71830
1948,80230
1949,64867
1950,69573
1951,62362
1952,57140
1953,49629
1954,36900
1955,49300
1956,51300
1957,52200
1958,50600
1959,49400
1960,60800
1961,55200
1962,60300
1963,58800
1964,39300
1965,78800
1966,70600
1967,100900
1968,80300
1969,46700
1970,57900
1971,55700
1972,44491
1973,80100
1974,82200
1975,116600
1976,218900
1977,90900
1978,97368
1979,83680
1980,95343
1981,103331
1982,112387
1983,115358
1984,157217
1985,245148
1986,466394
1987,344852
1988,333673
1989,273784
1990,289382
1991,179180
1992,131350
1993,127700
1994,169420
1995,198913
1996,259932
1997,205487
1998,251975
1999,211482
2000,241897
2001,203816
2002,177146
2003,120152
2004,156707
2005,0
2006,12800
2007,127432
2008,212564
2009,204880
2010,178749
2011,187109
2012,167146
2013,148647
2014,137538
2015,172038
2016,314531
2017,325497
